,testGroup,device,operatingSystem,userAgentClass,browser,browserVersion,screenWidth,screenHeight,users,sessions,pis,accPis,greenLcpPis,yellowLcpPis,redLcpPis,addToCartEvents,conversions,browserGrouped,osGrouped
100,A,Mobile,Android,Browser,SamsungBrowser,22.0,1080,2340,2202,2651,5111,1727,2787,608,807,193,41,SamsungBrowser,Android
101,A,Mobile,Android,Browser,Chrome,117,1080,2410,1933,2285,5085,1732,1965,868,1158,138,21,Chrome,Android
102,B,Mobile,Android,Browser,Chrome,117,1080,2410,1844,2232,5079,17,1934,859,1208,157,20,Chrome,Android
103,B,Mobile,iOS,Browser,Safari,17.0.1,1125,2436,1943,2502,5051,0,0,0,0,214,36,Safari,iOS
104,A,Desktop,Windows NT,Browser,Chrome,117,1920,1200,1464,1768,4970,1832,2507,602,562,355,77,Chrome,Windows NT
105,A,Mobile,iOS,Browser,Safari,16.1,828,1792,2186,2631,4939,1239,0,0,0,173,28,Safari,iOS
106,A,Mobile,iOS,Browser,Chrome iOS,117.0.5938.117,1125,2436,1654,2232,4901,978,0,0,0,210,45,Chrome iOS,iOS
107,B,Mobile,iOS,Browser,Safari,16.1,828,1792,2110,2611,4834,6,0,0,0,182,42,Safari,iOS
108,A,Mobile,Android,Browser,SamsungBrowser,22.0,1080,2400,1870,2349,4803,1638,2389,564,910,247,48,SamsungBrowser,Android
109,B,Desktop,Windows NT,Browser,Chrome,117,1600,900,1229,1679,4802,9,1891,801,940,224,37,Chrome,Windows NT
110,A,Mobile,iOS,Browser,Safari,17.0.1,1125,2436,1889,2406,4682,808,0,0,0,152,34,Safari,iOS
111,B,Desktop,Windows NT,Browser,Chrome,117,1920,1200,1436,1710,4681,6,2196,743,610,313,68,Chrome,Windows NT
112,A,Mobile,iOS,Browser,Safari,16.2,1170,2532,1900,2335,4670,1322,0,0,0,175,36,Safari,iOS
113,A,Desktop,Mac OS,Browser,Safari,16.6,1620,2160,1708,2018,4663,945,0,0,0,189,46,Safari,Mac OS
114,B,Mobile,Android,Browser,SamsungBrowser,22.0,1080,2400,1913,2355,4602,20,2048,641,838,187,36,SamsungBrowser,Android
115,A,Mobile,Android,Browser Webview,Chrome Webview,117.0.0.0,1080,2401,2390,2573,4518,1448,3001,514,565,158,27,Chrome Webview,Android
116,A,Mobile,iOS,Browser,Safari,17.0,1242,2208,2600,2695,4497,702,0,0,0,170,27,Safari,iOS
117,B,Desktop,Mac OS,Browser,Safari,16.6,1620,2160,1722,2028,4470,0,0,0,0,176,40,Safari,Mac OS
118,B,Mobile,Android,Browser Webview,Chrome Webview,117.0.0.0,1080,2401,2325,2472,4420,16,2861,548,579,148,20,Chrome Webview,Android
119,B,Mobile,iOS,Browser,Safari,16.2,1170,2532,1877,2252,4378,10,0,0,0,182,42,Safari,iOS
120,B,Mobile,iOS,Browser,Safari,17.0,1242,2208,2541,2653,4314,0,0,0,0,164,31,Safari,iOS
121,A,Mobile,Android,Browser,Chrome,116,1080,2400,1674,2084,4298,1627,2037,537,688,90,18,Chrome,Android
122,B,Mobile,iOS,Browser,Safari,16.3,828,1792,1808,2219,4275,3,0,0,0,174,30,Safari,iOS
123,B,Mobile,iOS,Browser,Chrome iOS,117.0.5938.117,1125,2436,1699,2274,4248,2,0,0,0,161,26,Chrome iOS,iOS
124,A,Desktop,Windows NT,Browser,Chrome,117,1600,900,1231,1578,4106,1428,1841,530,717,164,32,Chrome,Windows NT
125,A,Mobile,Android,Browser,Chrome,117,1081,2281,1541,1896,4094,1407,1975,523,795,146,27,Chrome,Android
126,B,Desktop,Android,Browser,OpenWebMonitor4,70.0.3538.77,3840,2160,1,2,4092,0,1,0,0,0,0,OpenWebMonitor4,Android
127,A,Mobile,iOS,Browser,Safari,16.3,828,1792,1761,2161,4071,1007,0,0,0,168,24,Safari,iOS
128,A,Desktop,Windows NT,Browser,Chrome,111,1920,1080,33,1513,4007,833,3473,226,273,5,0,Chrome,Windows NT
129,B,Mobile,Android,Browser,Chrome,116,1080,2400,1616,1988,3957,14,1807,520,672,73,16,Chrome,Android
130,B,Desktop,Windows NT,Browser,Chrome,111,2560,1440,5,6,3912,0,3226,276,408,0,0,Chrome,Windows NT
131,B,Mobile,Android,Browser,Chrome,117,1081,2281,1406,1758,3825,14,1638,550,848,158,27,Chrome,Android
132,A,Desktop,Mac OS,Browser,Safari,16.6,2880,1800,1180,1371,3784,1007,0,0,0,233,61,Safari,Mac OS
133,A,Desktop,Windows NT,Browser,Chrome,111,2560,1440,4,12,3726,96,2851,283,466,0,0,Chrome,Windows NT
134,A,Desktop,Mac OS,Browser,Safari,17.0,2880,1800,957,1153,3723,1056,0,0,0,203,53,Safari,Mac OS
135,A,Mobile,Android,Browser,SamsungBrowser,22.0,1081,2401,1530,1887,3722,1263,1574,539,727,139,24,SamsungBrowser,Android
136,B,Mobile,Android,Browser Webview,Chrome Webview,117.0.0.0,1080,2317,1716,1873,3698,16,2428,504,398,186,26,Chrome Webview,Android
137,A,Desktop,Windows NT,Browser,Chrome,117,3840,2160,881,1058,3677,1429,1815,409,387,244,56,Chrome,Windows NT
138,A,Mobile,Android,Browser Webview,Chrome Webview,117.0.0.0,1080,2317,1683,1852,3677,1188,2429,467,337,172,23,Chrome Webview,Android
139,A,Mobile,iOS,Browser,Safari,16.1,1284,2778,1429,1739,3665,1070,0,0,0,188,30,Safari,iOS
140,B,Desktop,Mac OS,Browser,Safari,16.6,2880,1800,1159,1316,3651,0,0,0,0,191,50,Safari,Mac OS
141,A,Desktop,Mac OS,Browser,Chrome,117,3024,1964,923,1106,3608,1410,2076,371,240,228,42,Chrome,Mac OS
142,B,Desktop,Windows NT,Browser,Opera,102.0.0.0,1920,1080,1127,1394,3600,9,1553,402,389,141,19,Other,Windows NT
143,B,Mobile,iOS,Browser,Safari,16.1,1284,2778,1460,1773,3553,3,0,0,0,181,33,Safari,iOS
144,B,Desktop,Mac OS,Browser,Chrome,117,1920,1080,965,1139,3519,11,1684,532,427,228,62,Chrome,Mac OS
145,B,Desktop,Mac OS,Browser,Safari,16.6,2048,2732,1051,1239,3464,1,0,0,0,263,54,Safari,Mac OS
146,B,Mobile,Android,Browser,SamsungBrowser,22.0,1081,2401,1459,1792,3436,19,1330,573,729,154,19,SamsungBrowser,Android
147,B,Desktop,Windows NT,Browser,Chrome,117,3840,2160,892,1057,3393,4,1484,477,418,220,37,Chrome,Windows NT
148,B,Desktop,Mac OS,Browser,Safari,16.6,1640,2360,1208,1383,3379,1,0,0,0,208,35,Safari,Mac OS
149,A,Mobile,iOS,Browser,Safari,16.6,750,1624,1373,1720,3367,469,0,0,0,160,33,Safari,iOS
150,A,Desktop,Windows NT,Browser,Opera,102.0.0.0,1920,1080,1150,1381,3344,1201,1579,358,376,103,19,Other,Windows NT
151,B,Mobile,iOS,Browser,Safari,16.6,960,2079,1350,1636,3342,1,0,0,0,149,33,Safari,iOS
152,B,Mobile,iOS,Browser,Safari,16.0,828,1792,1469,1800,3325,2,0,0,0,99,18,Safari,iOS
153,B,Desktop,Mac OS,Browser,Chrome,117,3024,1964,922,1092,3323,2,1875,439,270,227,62,Chrome,Mac OS
154,B,Desktop,Mac OS,Browser,Safari,17.0,2880,1800,922,1095,3299,1,0,0,0,181,33,Safari,Mac OS
155,B,Mobile,iOS,Browser,Safari,16.6,750,1624,1358,1700,3289,0,0,0,0,145,21,Safari,iOS
156,A,Mobile,iOS,Browser,Safari,16.6,960,2079,1308,1590,3270,463,0,0,0,163,28,Safari,iOS
157,B,Desktop,Windows NT,Browser,Edge,117,1366,768,1199,1400,3234,7,1111,613,826,163,36,Edge,Windows NT
158,A,Desktop,Mac OS,Browser,Chrome,117,1920,1080,880,1010,3190,1170,1674,387,327,192,54,Chrome,Mac OS
159,A,Desktop,Windows NT,Browser,Edge,117,1366,768,1094,1236,3038,975,1176,505,772,136,24,Edge,Windows NT
160,A,Desktop,Mac OS,Browser,Chrome,117,3456,2234,743,878,3038,1201,1771,310,188,194,36,Chrome,Mac OS
161,A,Desktop,Mac OS,Browser,Chrome,117,2940,1912,838,979,2998,984,1875,357,244,218,36,Chrome,Mac OS
162,A,Mobile,iOS,Browser,Safari,16.0,828,1792,1339,1607,2983,704,0,0,0,92,16,Safari,iOS
163,B,Desktop,Mac OS,Browser,Chrome,117,3456,2234,740,900,2970,7,1502,360,259,186,46,Chrome,Mac OS
164,A,Mobile,Android,Browser,SamsungBrowser,22.0,1080,2401,1231,1500,2959,1025,1414,358,521,114,19,SamsungBrowser,Android
165,A,Mobile,iOS,Browser,Safari,16.3,1284,2778,1223,1474,2958,781,0,0,0,175,31,Safari,iOS
166,A,Mobile,iOS,Browser,Safari,17.0,1125,2436,1210,1494,2931,548,0,0,0,99,17,Safari,iOS
167,A,Mobile,Android,Browser Webview,Chrome Webview,117.0.0.0,1081,2341,1532,1681,2892,892,1782,437,375,99,13,Chrome Webview,Android
168,A,Mobile,Android,Browser,Chrome,117,1442,3122,989,1235,2880,1098,1543,389,401,163,27,Chrome,Android
169,A,Mobile,Android,Browser,Chrome,117,1080,2640,955,1169,2878,1100,1671,372,418,137,25,Chrome,Android
170,A,Mobile,Android,Browser Webview,Chrome Webview,117.0.0.0,721,1601,1526,1625,2864,819,1124,592,611,97,8,Chrome Webview,Android
171,A,Desktop,Mac OS,Browser,Safari,16.6,1640,2360,1147,1322,2853,593,0,0,0,128,26,Safari,Mac OS
172,B,Mobile,iOS,Browser,Safari,17.0,1125,2436,1176,1471,2842,3,0,0,0,89,18,Safari,iOS
173,A,Desktop,Mac OS,Browser,Safari,16.6,2048,2732,1032,1209,2837,658,0,0,0,157,42,Safari,Mac OS
174,B,Mobile,Android,Browser Webview,Chrome Webview,117.0.0.0,1081,2341,1527,1634,2834,25,1791,428,339,85,11,Chrome Webview,Android
175,B,Mobile,iOS,Browser,Safari,16.3,1284,2778,1172,1422,2824,2,0,0,0,132,24,Safari,iOS
176,B,Mobile,Android,Browser Webview,Chrome Webview,117.0.0.0,1081,2317,1095,1235,2810,10,1750,334,282,129,18,Chrome Webview,Android
177,B,Mobile,Android,Browser,Chrome,117,1080,2640,987,1238,2809,12,1512,414,409,140,26,Chrome,Android
178,A,Mobile,Android,Browser,Chrome,117,1080,2409,1227,1445,2802,942,1235,399,506,63,8,Chrome,Android
179,B,Desktop,Mac OS,Browser,Chrome,117,2940,1912,790,931,2785,6,1559,368,202,161,37,Chrome,Mac OS
180,B,Mobile,Android,Browser,SamsungBrowser,22.0,1080,2401,1216,1486,2785,15,1172,477,505,91,18,SamsungBrowser,Android
181,A,Mobile,iOS,Browser,Safari,16.1,1125,2436,1157,1412,2784,802,0,0,0,97,20,Safari,iOS
182,A,Mobile,iOS,Browser,Safari,15.6.1,1170,2532,1081,1395,2780,737,0,0,0,132,24,Safari,iOS
183,B,Mobile,Android,Browser Webview,Chrome Webview,117.0.0.0,721,1601,1476,1577,2778,16,1051,542,573,82,5,Chrome Webview,Android
184,B,Mobile,Android,Browser,Chrome,117,1080,2409,1203,1458,2743,5,1159,408,448,49,7,Chrome,Android
185,B,Mobile,iOS,Browser,Safari,16.1,1125,2436,1158,1401,2634,5,0,0,0,104,24,Safari,iOS
186,A,Desktop,Mac OS,Browser,Chrome,117,1440,900,490,582,2632,1500,1583,255,382,119,23,Chrome,Mac OS
187,B,Mobile,Windows NT,Desktop App,Chrome,4.5.2,3840,2160,1,2,2629,0,3,0,0,0,0,Chrome,Windows NT
188,B,Mobile,Android,Browser,Chrome,111,1080,2400,939,1172,2608,7,1217,361,405,68,4,Chrome,Android
189,B,Mobile,iOS,Browser,Safari,15.6.1,1170,2532,1059,1356,2550,1,0,0,0,97,13,Safari,iOS
190,B,Mobile,Android,Browser,Chrome,117,1442,3122,948,1194,2531,7,1279,398,396,99,21,Chrome,Android
191,B,Desktop,Mac OS,Browser,Safari,16.6,1668,2388,798,929,2404,0,0,0,0,160,40,Safari,Mac OS
192,A,Mobile,Android,Browser,Chrome,111,1080,2400,960,1178,2394,871,1174,307,391,59,12,Chrome,Android
193,A,Desktop,Mac OS,Browser,Safari,16.6,1668,2388,787,933,2387,583,0,0,0,131,31,Safari,Mac OS
194,A,Desktop,Windows NT,Browser,Chrome,117,2303,1295,20,2237,2371,65,95,23,8,15,0,Chrome,Windows NT
195,A,Mobile,Android,Browser,Chrome,117,1080,2280,901,1089,2367,812,1070,339,475,82,20,Chrome,Android
196,B,Desktop,Windows NT,Browser,Chrome,117,2303,1295,22,2262,2354,0,32,12,19,21,5,Chrome,Windows NT
197,A,Mobile,Android,Browser Webview,Chrome Webview,117.0.0.0,1081,2317,1075,1174,2332,849,1566,306,294,135,15,Chrome Webview,Android
198,B,Desktop,Windows NT,Browser,Chrome,113,1920,1080,155,2126,2290,0,91,41,52,11,3,Chrome,Windows NT
199,B,Mobile,Android,Browser,Chrome,117,1080,2280,836,1036,2256,8,847,364,520,86,16,Chrome,Android
200,A,Mobile,iOS,Browser,Safari,16.3,1125,2436,899,1096,2229,622,0,0,0,108,17,Safari,iOS
201,B,Mobile,Android,Browser,Chrome,114,1080,2400,832,1002,2219,5,965,295,404,41,6,Chrome,Android
202,B,Mobile,iOS,Browser,Safari,16.6,1242,2208,924,1123,2212,0,0,0,0,109,14,Safari,iOS
203,A,Mobile,Android,Browser,Chrome,114,1080,2400,846,1054,2198,840,1014,297,385,46,7,Chrome,Android
204,A,Mobile,Android,Browser,SamsungBrowser,22.0,1080,2317,846,1046,2187,750,1220,254,339,122,16,SamsungBrowser,Android
205,A,Mobile,iOS,Browser,Safari,15.6.6,750,1334,925,1141,2184,429,0,0,0,65,12,Safari,iOS
206,B,Desktop,Windows NT,Browser,Chrome,109,1366,768,657,770,2182,2,580,346,600,86,23,Chrome,Windows NT
207,B,Mobile,iOS,Browser,Safari,16.2,828,1792,914,1076,2172,2,0,0,0,91,16,Safari,iOS
208,B,Mobile,Android,Browser,SamsungBrowser,22.0,1080,2317,863,1052,2169,13,1161,298,353,101,20,SamsungBrowser,Android
209,A,Mobile,Android,Browser,Chrome,117,1081,2400,817,999,2168,823,1194,308,303,78,13,Chrome,Android
210,A,Mobile,iOS,Browser,Safari,16.6,1242,2208,873,1074,2121,282,0,0,0,88,20,Safari,iOS
211,B,Mobile,iOS,Browser,Safari,16.3,1125,2436,928,1125,2081,3,0,0,0,72,13,Safari,iOS
212,B,Mobile,iOS,Browser,Safari,15.6.6,750,1334,949,1159,2061,2,0,0,0,62,15,Safari,iOS
213,B,Desktop,Mac OS,Browser,Chrome,117,3584,2240,543,651,2058,5,958,257,240,117,21,Chrome,Mac OS
214,A,Desktop,Windows NT,Browser,Chrome,109,1366,768,651,775,2054,798,609,228,499,58,12,Chrome,Windows NT
